DataRate,Payload Size,No of Stations,No of Slots,Beacon Interval,Throughput,Simulation Time 
0.65,256,160,20,71680,0.277358,3
0.65,256,170,20,71680,0.270929,3
0.65,256,180,20,71680,0.280576,3
0.65,256,190,20,71680,0.280726,3
0.65,256,200,20,71680,0.275084,3
0.65,256,210,20,71680,0.281259,3
0.65,256,220,20,71680,0.270879,3
0.65,256,230,20,71680,0.281119,3
0.65,256,240,20,71680,0.281138,3
0.65,256,250,20,71680,0.278035,3
0.65,256,260,20,71680,0.271378,3
0.65,256,270,20,71680,0.280145,3
0.65,256,280,20,71680,0.277982,3
0.65,256,290,20,71680,0.283273,3
0.65,256,300,20,71680,0.268698,3
0.65,256,310,20,71680,0.27347,3
0.65,256,320,20,71680,0.271541,3
0.65,256,330,20,71680,0.26665,3
0.65,256,340,20,71680,0.274749,3
0.65,256,350,20,71680,0.280049,3
0.65,256,360,20,71680,0.275267,3
0.65,256,370,20,71680,0.27613,3
0.65,256,380,20,71680,0.268211,3
0.65,256,390,20,71680,0.272073,3
0.65,256,400,20,71680,0.27264,3
0.65,256,410,20,71680,0.268044,3
0.65,256,420,20,71680,0.274555,3
0.65,256,430,20,71680,0.274603,3
0.65,256,440,20,71680,0.273129,3
0.65,256,450,20,71680,0.271348,3
0.65,256,460,20,71680,0.268743,3
0.65,256,470,20,71680,0.274938,3
0.65,256,480,20,71680,0.271071,3
0.65,256,490,20,71680,0.274781,3
0.65,256,500,20,71680,0.272689,3
0.65,256,30,25,71680,0.204345,3
0.65,256,40,25,71680,0.238387,3
0.65,256,50,25,71680,0.277411,3
0.65,256,60,25,71680,0.276795,3
0.65,256,70,25,71680,0.323426,3
0.65,256,80,25,71680,0.283467,3
0.65,256,90,25,71680,0.315633,3
0.65,256,100,25,71680,0.315715,3
0.65,256,110,25,71680,0.312856,3
0.65,256,120,25,71680,0.334409,3
0.65,256,130,25,71680,0.311869,3
0.65,256,140,25,71680,0.330383,3
0.65,256,150,25,71680,0.349263,3
0.65,256,160,25,71680,0.327821,3
0.65,256,170,25,71680,0.334985,3
0.65,256,180,25,71680,0.316296,3
0.65,256,190,25,71680,0.338851,3
0.65,256,200,25,71680,0.331662,3
0.65,256,210,25,71680,0.325416,3
0.65,256,220,25,71680,0.343363,3
0.65,256,230,25,71680,0.324754,3
0.65,256,240,25,71680,0.336555,3
0.65,256,250,25,71680,0.337873,3
0.65,256,260,25,71680,0.326373,3
0.65,256,270,25,71680,0.337005,3
0.65,256,280,25,71680,0.330752,3
0.65,256,290,25,71680,0.329098,3
0.65,256,300,25,71680,0.336413,3
0.65,256,310,25,71680,0.329216,3
0.65,256,320,25,71680,0.335799,3
0.65,256,330,25,71680,0.321468,3
0.65,256,340,25,71680,0.333722,3
0.65,256,350,25,71680,0.322284,3
0.65,256,360,25,71680,0.32688,3
0.65,256,370,25,71680,0.330264,3
0.65,256,380,25,71680,0.321655,3
0.65,256,390,25,71680,0.327108,3
0.65,256,400,25,71680,0.322267,3
0.65,256,410,25,71680,0.326002,3
0.65,256,420,25,71680,0.324033,3
0.65,256,430,25,71680,0.315985,3
0.65,256,440,25,71680,0.329539,3
0.65,256,450,25,71680,0.325165,3
0.65,256,460,25,71680,0.322314,3
0.65,256,470,25,71680,0.328924,3
0.65,256,480,25,71680,0.320672,3
0.65,256,490,25,71680,0.323267,3
0.65,256,500,25,71680,0.317006,3
0.65,256,30,30,71680,0.260974,3
0.65,256,40,30,71680,0.187313,3
0.65,256,50,30,71680,0.265868,3
0.65,256,60,30,71680,0.303616,3
0.65,256,70,30,71680,0.234837,3
0.65,256,80,30,71680,0.281781,3
0.65,256,90,30,71680,0.296164,3
0.65,256,100,30,71680,0.248491,3
0.65,256,110,30,71680,0.282802,3
0.65,256,120,30,71680,0.282214,3
0.65,256,130,30,71680,0.265816,3
0.65,256,140,30,71680,0.272657,3
0.65,256,150,30,71680,0.305858,3
0.65,256,160,30,71680,0.293504,3
0.65,256,170,30,71680,0.291659,3
0.65,256,180,30,71680,0.29349,3
0.65,256,190,30,71680,0.272584,3
0.65,256,200,30,71680,0.285072,3
0.65,256,210,30,71680,0.289792,3
0.65,256,220,30,71680,0.284035,3
0.65,256,230,30,71680,0.300591,3
0.65,256,240,30,71680,0.288,3
0.65,256,250,30,71680,0.280335,3
0.65,256,260,30,71680,0.290535,3
0.65,256,270,30,71680,0.291898,3
0.65,256,280,30,71680,0.291878,3
0.65,256,290,30,71680,0.292023,3
0.65,256,300,30,71680,0.290569,3
0.65,256,310,30,71680,0.28829,3
0.65,256,320,30,71680,0.302201,3
0.65,256,330,30,71680,0.298471,3
0.65,256,340,30,71680,0.290501,3
0.65,256,350,30,71680,0.293431,3
0.65,256,360,30,71680,0.281307,3
0.65,256,370,30,71680,0.281401,3
0.65,256,380,30,71680,0.299184,3
0.65,256,390,30,71680,0.302226,3
0.65,256,400,30,71680,0.304538,3
0.65,256,410,30,71680,0.296876,3
0.65,256,420,30,71680,0.294508,3
0.65,256,430,30,71680,0.300115,3
0.65,256,440,30,71680,0.311842,3
0.65,256,450,30,71680,0.299736,3
0.65,256,460,30,71680,0.299955,3
0.65,256,470,30,71680,0.308796,3
0.65,256,480,30,71680,0.298351,3
0.65,256,490,30,71680,0.293481,3
0.65,256,500,30,71680,0.300414,3
0.65,256,30,35,71680,0.255415,3
0.65,256,40,35,71680,0.175397,3
0.65,256,50,35,71680,0.202752,3
0.65,256,60,35,71680,0.27774,3
0.65,256,70,35,71680,0.267648,3
0.65,256,80,35,71680,0.270108,3
0.65,256,90,35,71680,0.287475,3
0.65,256,100,35,71680,0.317224,3
0.65,256,110,35,71680,0.280235,3
0.65,256,120,35,71680,0.282151,3
0.65,256,130,35,71680,0.317112,3
0.65,256,140,35,71680,0.284467,3
0.65,256,150,35,71680,0.295176,3
0.65,256,160,35,71680,0.313806,3
0.65,256,170,35,71680,0.3248,3
0.65,256,180,35,71680,0.304981,3
0.65,256,190,35,71680,0.304128,3
0.65,256,200,35,71680,0.319811,3
0.65,256,210,35,71680,0.297722,3
0.65,256,220,35,71680,0.303895,3
0.65,256,230,35,71680,0.310249,3
0.65,256,240,35,71680,0.330659,3
0.65,256,250,35,71680,0.304865,3
0.65,256,260,35,71680,0.316047,3
0.65,256,270,35,71680,0.321938,3
0.65,256,280,35,71680,0.299834,3
0.65,256,290,35,71680,0.304975,3
0.65,256,300,35,71680,0.315569,3
0.65,256,310,35,71680,0.319349,3
0.65,256,320,35,71680,0.304032,3
0.65,256,330,35,71680,0.311392,3
0.65,256,340,35,71680,0.31618,3
0.65,256,350,35,71680,0.298085,3
0.65,256,360,35,71680,0.296736,3
0.65,256,370,35,71680,0.312825,3
0.65,256,380,35,71680,0.319033,3
0.65,256,390,35,71680,0.300373,3
0.65,256,400,35,71680,0.304784,3
0.65,256,410,35,71680,0.313029,3
0.65,256,420,35,71680,0.301549,3
0.65,256,430,35,71680,0.30043,3
0.65,256,440,35,71680,0.307248,3
0.65,256,450,35,71680,0.311898,3
0.65,256,460,35,71680,0.304393,3
0.65,256,470,35,71680,0.302681,3
0.65,256,480,35,71680,0.307853,3
0.65,256,490,35,71680,0.293476,3
0.65,256,500,35,71680,0.299282,3
0.65,256,30,40,71680,0.162909,3
0.65,256,40,40,71680,0.24064,3
0.65,256,50,40,71680,0.188928,3
0.65,256,60,40,71680,0.219776,3
0.65,256,70,40,71680,0.244073,3
0.65,256,80,40,71680,0.26715,3
0.65,256,90,40,71680,0.265011,3
0.65,256,100,40,71680,0.256,3
0.65,256,110,40,71680,0.275679,3
0.65,256,120,40,71680,0.296192,3
0.65,256,130,40,71680,0.282472,3
0.65,256,140,40,71680,0.279729,3
0.65,256,150,40,71680,0.288085,3
0.65,256,160,40,71680,0.303445,3
0.65,256,170,40,71680,0.282684,3
0.65,256,180,40,71680,0.296901,3
0.65,256,190,40,71680,0.297131,3
0.65,256,200,40,71680,0.305097,3
0.65,256,210,40,71680,0.290918,3
0.65,256,220,40,71680,0.303872,3
0.65,256,230,40,71680,0.302031,3
0.65,256,240,40,71680,0.296029,3
0.65,256,250,40,71680,0.296394,3
0.65,256,260,40,71680,0.301187,3
0.65,256,270,40,71680,0.300262,3
0.65,256,280,40,71680,0.31296,3
0.65,256,290,40,71680,0.292352,3
0.65,256,300,40,71680,0.293319,3
0.65,256,310,40,71680,0.297435,3
0.65,256,320,40,71680,0.301473,3
0.65,256,330,40,71680,0.297207,3
0.65,256,340,40,71680,0.301091,3
0.65,256,350,40,71680,0.299702,3
0.65,256,360,40,71680,0.315357,3
0.65,256,370,40,71680,0.311569,3
0.65,256,380,40,71680,0.304868,3
0.65,256,390,40,71680,0.3088,3
0.65,256,400,40,71680,0.302887,3
0.65,256,410,40,71680,0.292713,3
0.65,256,420,40,71680,0.300303,3
0.65,256,430,40,71680,0.299809,3
0.65,256,440,40,71680,0.302748,3
0.65,256,450,40,71680,0.292133,3
0.65,256,460,40,71680,0.295566,3
0.65,256,470,40,71680,0.294795,3
0.65,256,480,40,71680,0.2971,3
0.65,256,490,40,71680,0.29079,3
0.65,256,500,40,71680,0.306993,3
0.65,256,30,45,71680,0.193195,3
0.65,256,40,45,71680,0.234701,3
0.65,256,50,45,71680,0.216649,3
0.65,256,60,45,71680,0.234974,3
0.65,256,70,45,71680,0.201484,3
0.65,256,80,45,71680,0.280215,3
0.65,256,90,45,71680,0.300487,3
0.65,256,100,45,71680,0.25974,3
0.65,256,110,45,71680,0.271275,3
0.65,256,120,45,71680,0.271045,3
0.65,256,130,45,71680,0.304005,3
0.65,256,140,45,71680,0.275866,3
0.65,256,150,45,71680,0.284143,3
0.65,256,160,45,71680,0.289856,3
0.65,256,170,45,71680,0.306688,3
0.65,256,180,45,71680,0.315951,3
0.65,256,190,45,71680,0.273971,3
0.65,256,200,45,71680,0.282274,3
0.65,256,210,45,71680,0.316955,3
0.65,256,220,45,71680,0.314368,3
0.65,256,230,45,71680,0.305628,3
0.65,256,240,45,71680,0.290293,3
0.65,256,250,45,71680,0.312454,3
0.65,256,260,45,71680,0.320067,3
0.65,256,270,45,71680,0.313131,3
0.65,256,280,45,71680,0.293736,3
0.65,256,290,45,71680,0.307509,3
0.65,256,300,45,71680,0.303726,3
0.65,256,310,45,71680,0.312488,3
0.65,256,320,45,71680,0.307059,3
0.65,256,330,45,71680,0.310101,3
0.65,256,340,45,71680,0.313848,3
0.65,256,350,45,71680,0.323994,3
0.65,256,360,45,71680,0.31417,3
0.65,256,370,45,71680,0.302803,3
0.65,256,380,45,71680,0.315973,3
0.65,256,390,45,71680,0.316928,3
0.65,256,400,45,71680,0.317741,3
0.65,256,410,45,71680,0.310258,3
0.65,256,420,45,71680,0.30761,3
0.65,256,430,45,71680,0.306854,3
0.65,256,440,45,71680,0.324485,3
0.65,256,450,45,71680,0.313239,3
0.65,256,460,45,71680,0.306416,3
0.65,256,470,45,71680,0.309445,3
0.65,256,480,45,71680,0.316774,3
0.65,256,490,45,71680,0.316514,3
0.65,256,500,45,71680,0.309364,3
0.65,256,30,50,71680,0.149504,3
0.65,256,40,50,71680,0.182587,3
0.65,256,50,50,71680,0.274804,3
0.65,256,60,50,71680,0.211667,3
0.65,256,70,50,71680,0.220106,3
0.65,256,80,50,71680,0.225182,3
0.65,256,90,50,71680,0.251514,3
0.65,256,100,50,71680,0.268567,3
0.65,256,110,50,71680,0.239919,3
0.65,256,120,50,71680,0.247881,3
0.65,256,130,50,71680,0.260873,3
0.65,256,140,50,71680,0.277257,3
0.65,256,150,50,71680,0.284467,3
0.65,256,160,50,71680,0.273005,3
0.65,256,170,50,71680,0.265444,3
0.65,256,180,50,71680,0.282283,3
0.65,256,190,50,71680,0.286665,3
0.65,256,200,50,71680,0.294804,3
0.65,256,210,50,71680,0.273813,3
0.65,256,220,50,71680,0.280762,3
0.65,256,230,50,71680,0.27406,3
0.65,256,240,50,71680,0.292181,3
0.65,256,250,50,71680,0.292864,3
0.65,256,260,50,71680,0.285013,3
0.65,256,270,50,71680,0.280576,3
0.65,256,280,50,71680,0.286878,3
0.65,256,290,50,71680,0.297314,3
0.65,256,300,50,71680,0.292091,3
0.65,256,310,50,71680,0.29323,3
0.65,256,320,50,71680,0.28386,3
0.65,256,330,50,71680,0.292758,3
0.65,256,340,50,71680,0.297411,3
0.65,256,350,50,71680,0.29637,3
0.65,256,360,50,71680,0.298843,3
0.65,256,370,50,71680,0.297632,3
0.65,256,380,50,71680,0.30364,3
0.65,256,390,50,71680,0.29876,3
0.65,256,400,50,71680,0.298563,3
0.65,256,410,50,71680,0.298444,3
0.65,256,420,50,71680,0.298586,3
0.65,256,430,50,71680,0.290652,3
