DataRate,Payload Size,No of Stations,No of Slots,Beacon Interval,Throughput,Simulation Time 
0.65,256,230,15,112640,0.274593,3
0.65,256,240,15,112640,0.273814,3
0.65,256,250,15,112640,0.286681,3
0.65,256,260,15,112640,0.275618,3
0.65,256,270,15,112640,0.272179,3
0.65,256,280,15,112640,0.285991,3
0.65,256,290,15,112640,0.27739,3
0.65,256,300,15,112640,0.267493,3
0.65,256,310,15,112640,0.282686,3
0.65,256,320,15,112640,0.277964,3
0.65,256,330,15,112640,0.27429,3
0.65,256,340,15,112640,0.277237,3
0.65,256,350,15,112640,0.276698,3
0.65,256,360,15,112640,0.273093,3
0.65,256,370,15,112640,0.282361,3
0.65,256,380,15,112640,0.274782,3
0.65,256,390,15,112640,0.269637,3
0.65,256,400,15,112640,0.275564,3
0.65,256,410,15,112640,0.272105,3
0.65,256,420,15,112640,0.272637,3
0.65,256,430,15,112640,0.27862,3
0.65,256,440,15,112640,0.274102,3
0.65,256,450,15,112640,0.266029,3
0.65,256,460,15,112640,0.273579,3
0.65,256,470,15,112640,0.265994,3
0.65,256,480,15,112640,0.266642,3
0.65,256,490,15,112640,0.274909,3
0.65,256,500,15,112640,0.267689,3
0.65,256,30,20,112640,0.183706,3
0.65,256,40,20,112640,0.30592,3
0.65,256,50,20,112640,0.276108,3
0.65,256,60,20,112640,0.334196,3
0.65,256,70,20,112640,0.303397,3
0.65,256,80,20,112640,0.287925,3
0.65,256,90,20,112640,0.323464,3
0.65,256,100,20,112640,0.277876,3
0.65,256,110,20,112640,0.305524,3
0.65,256,120,20,112640,0.293356,3
0.65,256,130,20,112640,0.304522,3
0.65,256,140,20,112640,0.306322,3
0.65,256,150,20,112640,0.316169,3
0.65,256,160,20,112640,0.305984,3
0.65,256,170,20,112640,0.3248,3
0.65,256,180,20,112640,0.306119,3
0.65,256,190,20,112640,0.322162,3
0.65,256,200,20,112640,0.305818,3
0.65,256,210,20,112640,0.32957,3
0.65,256,220,20,112640,0.31263,3
0.65,256,230,20,112640,0.326537,3
0.65,256,240,20,112640,0.317841,3
0.65,256,250,20,112640,0.32463,3
0.65,256,260,20,112640,0.316744,3
0.65,256,270,20,112640,0.328827,3
0.65,256,280,20,112640,0.322502,3
0.65,256,290,20,112640,0.320754,3
0.65,256,300,20,112640,0.320494,3
0.65,256,310,20,112640,0.331273,3
0.65,256,320,20,112640,0.324335,3
0.65,256,330,20,112640,0.333824,3
0.65,256,340,20,112640,0.317188,3
0.65,256,350,20,112640,0.332192,3
0.65,256,360,20,112640,0.331,3
0.65,256,370,20,112640,0.334374,3
0.65,256,380,20,112640,0.328997,3
0.65,256,390,20,112640,0.333297,3
0.65,256,400,20,112640,0.330401,3
0.65,256,410,20,112640,0.337106,3
0.65,256,420,20,112640,0.323321,3
0.65,256,430,20,112640,0.332893,3
0.65,256,440,20,112640,0.333824,3
0.65,256,450,20,112640,0.335189,3
0.65,256,460,20,112640,0.326461,3
0.65,256,470,20,112640,0.327029,3
0.65,256,480,20,112640,0.32921,3
0.65,256,490,20,112640,0.329984,3
0.65,256,500,20,112640,0.3315,3
0.65,256,30,25,112640,0.183501,3
0.65,256,40,25,112640,0.220625,3
0.65,256,50,25,112640,0.278714,3
0.65,256,60,25,112640,0.228736,3
0.65,256,70,25,112640,0.267136,3
0.65,256,80,25,112640,0.212547,3
0.65,256,90,25,112640,0.250321,3
0.65,256,100,25,112640,0.245023,3
0.65,256,110,25,112640,0.240347,3
0.65,256,120,25,112640,0.24419,3
0.65,256,130,25,112640,0.240485,3
0.65,256,140,25,112640,0.237568,3
0.65,256,150,25,112640,0.247365,3
0.65,256,160,25,112640,0.237618,3
0.65,256,170,25,112640,0.264297,3
0.65,256,180,25,112640,0.260389,3
0.65,256,190,25,112640,0.261446,3
0.65,256,200,25,112640,0.264593,3
0.65,256,210,25,112640,0.249535,3
0.65,256,220,25,112640,0.260216,3
0.65,256,230,25,112640,0.262183,3
0.65,256,240,25,112640,0.254707,3
0.65,256,250,25,112640,0.270811,3
0.65,256,260,25,112640,0.269524,3
0.65,256,270,25,112640,0.270097,3
0.65,256,280,25,112640,0.263392,3
0.65,256,290,25,112640,0.276317,3
0.65,256,300,25,112640,0.265608,3
0.65,256,310,25,112640,0.273498,3
0.65,256,320,25,112640,0.26133,3
0.65,256,330,25,112640,0.249286,3
0.65,256,340,25,112640,0.255078,3
0.65,256,350,25,112640,0.260941,3
0.65,256,360,25,112640,0.259871,3
0.65,256,370,25,112640,0.267414,3
0.65,256,380,25,112640,0.261956,3
0.65,256,390,25,112640,0.275358,3
0.65,256,400,25,112640,0.275551,3
0.65,256,410,25,112640,0.257068,3
0.65,256,420,25,112640,0.274364,3
0.65,256,430,25,112640,0.261827,3
0.65,256,440,25,112640,0.26484,3
0.65,256,450,25,112640,0.263847,3
0.65,256,460,25,112640,0.267517,3
0.65,256,470,25,112640,0.263529,3
0.65,256,480,25,112640,0.262833,3
0.65,256,490,25,112640,0.258417,3
0.65,256,500,25,112640,0.263085,3
0.65,256,30,30,112640,0.263022,3
0.65,256,40,30,112640,0.203605,3
0.65,256,50,30,112640,0.233787,3
0.65,256,60,30,112640,0.263022,3
0.65,256,70,30,112640,0.237796,3
0.65,256,80,30,112640,0.287081,3
0.65,256,90,30,112640,0.261559,3
0.65,256,100,30,112640,0.255403,3
0.65,256,110,30,112640,0.278784,3
0.65,256,120,30,112640,0.262144,3
0.65,256,130,30,112640,0.256198,3
0.65,256,140,30,112640,0.27397,3
0.65,256,150,30,112640,0.261793,3
0.65,256,160,30,112640,0.263306,3
0.65,256,170,30,112640,0.27958,3
0.65,256,180,30,112640,0.280786,3
0.65,256,190,30,112640,0.274383,3
0.65,256,200,30,112640,0.275223,3
0.65,256,210,30,112640,0.266795,3
0.65,256,220,30,112640,0.278656,3
0.65,256,230,30,112640,0.284254,3
0.65,256,240,30,112640,0.275398,3
0.65,256,250,30,112640,0.281372,3
0.65,256,260,30,112640,0.271113,3
0.65,256,270,30,112640,0.288049,3
0.65,256,280,30,112640,0.282761,3
0.65,256,290,30,112640,0.287526,3
0.65,256,300,30,112640,0.283616,3
0.65,256,310,30,112640,0.267176,3
0.65,256,320,30,112640,0.286842,3
0.65,256,330,30,112640,0.283853,3
0.65,256,340,30,112640,0.284416,3
0.65,256,350,30,112640,0.292153,3
0.65,256,360,30,112640,0.27711,3
0.65,256,370,30,112640,0.284777,3
0.65,256,380,30,112640,0.288172,3
0.65,256,390,30,112640,0.281662,3
0.65,256,400,30,112640,0.280937,3
0.65,256,410,30,112640,0.281612,3
0.65,256,420,30,112640,0.284672,3
0.65,256,430,30,112640,0.280599,3
0.65,256,440,30,112640,0.283514,3
0.65,256,450,30,112640,0.27904,3
0.65,256,460,30,112640,0.282413,3
0.65,256,470,30,112640,0.278507,3
0.65,256,480,30,112640,0.279793,3
0.65,256,490,30,112640,0.278823,3
0.65,256,500,30,112640,0.281473,3
0.65,256,30,35,112640,0.201842,3
0.65,256,40,35,112640,0.186841,3
0.65,256,50,35,112640,0.215479,3
0.65,256,60,35,112640,0.259511,3
0.65,256,70,35,112640,0.303397,3
0.65,256,80,35,112640,0.241971,3
0.65,256,90,35,112640,0.270029,3
0.65,256,100,35,112640,0.299418,3
0.65,256,110,35,112640,0.255291,3
0.65,256,120,35,112640,0.248514,3
0.65,256,130,35,112640,0.277285,3
0.65,256,140,35,112640,0.290392,3
0.65,256,150,35,112640,0.290882,3
0.65,256,160,35,112640,0.280154,3
0.65,256,170,35,112640,0.290172,3
0.65,256,180,35,112640,0.276375,3
0.65,256,190,35,112640,0.281446,3
0.65,256,200,35,112640,0.290067,3
0.65,256,210,35,112640,0.305302,3
0.65,256,220,35,112640,0.28854,3
0.65,256,230,35,112640,0.283563,3
0.65,256,240,35,112640,0.294272,3
0.65,256,250,35,112640,0.293765,3
0.65,256,260,35,112640,0.281524,3
0.65,256,270,35,112640,0.300977,3
0.65,256,280,35,112640,0.29804,3
0.65,256,290,35,112640,0.289474,3
0.65,256,300,35,112640,0.290642,3
0.65,256,310,35,112640,0.30293,3
0.65,256,320,35,112640,0.290686,3
0.65,256,330,35,112640,0.292576,3
0.65,256,340,35,112640,0.295605,3
0.65,256,350,35,112640,0.300512,3
0.65,256,360,35,112640,0.291172,3
0.65,256,370,35,112640,0.294075,3
0.65,256,380,35,112640,0.314669,3
0.65,256,390,35,112640,0.283729,3
0.65,256,400,35,112640,0.293902,3
0.65,256,410,35,112640,0.297822,3
0.65,256,420,35,112640,0.307883,3
0.65,256,430,35,112640,0.291905,3
0.65,256,440,35,112640,0.293763,3
0.65,256,450,35,112640,0.295266,3
0.65,256,460,35,112640,0.29084,3
0.65,256,470,35,112640,0.286339,3
0.65,256,480,35,112640,0.301417,3
0.65,256,490,35,112640,0.306269,3
0.65,256,500,35,112640,0.293331,3
0.65,256,30,40,112640,0.1792,3
0.65,256,40,40,112640,0.30336,3
0.65,256,50,40,112640,0.216064,3
0.65,256,60,40,112640,0.238524,3
0.65,256,70,40,112640,0.297399,3
0.65,256,80,40,112640,0.323721,3
0.65,256,90,40,112640,0.258341,3
0.65,256,100,40,112640,0.282429,3
0.65,256,110,40,112640,0.311784,3
0.65,256,120,40,112640,0.344942,3
0.65,256,130,40,112640,0.289527,3
0.65,256,140,40,112640,0.309855,3
0.65,256,150,40,112640,0.328818,3
0.65,256,160,40,112640,0.34165,3
0.65,256,170,40,112640,0.306952,3
0.65,256,180,40,112640,0.313404,3
0.65,256,190,40,112640,0.330029,3
0.65,256,200,40,112640,0.347317,3
0.65,256,210,40,112640,0.304153,3
0.65,256,220,40,112640,0.303342,3
0.65,256,230,40,112640,0.322316,3
0.65,256,240,40,112640,0.345313,3
0.65,256,250,40,112640,0.319399,3
0.65,256,260,40,112640,0.325414,3
0.65,256,270,40,112640,0.339445,3
0.65,256,280,40,112640,0.345472,3
0.65,256,290,40,112640,0.328586,3
0.65,256,300,40,112640,0.327187,3
0.65,256,310,40,112640,0.336782,3
0.65,256,320,40,112640,0.348539,3
0.65,256,330,40,112640,0.326222,3
0.65,256,340,40,112640,0.335108,3
0.65,256,350,40,112640,0.332313,3
0.65,256,360,40,112640,0.343057,3
0.65,256,370,40,112640,0.329107,3
0.65,256,380,40,112640,0.337827,3
0.65,256,390,40,112640,0.332589,3
0.65,256,400,40,112640,0.340962,3
0.65,256,410,40,112640,0.332999,3
0.65,256,420,40,112640,0.339968,3
0.65,256,430,40,112640,0.335817,3
0.65,256,440,40,112640,0.34351,3
0.65,256,450,40,112640,0.33091,3
0.65,256,460,40,112640,0.337479,3
0.65,256,470,40,112640,0.339456,3
0.65,256,480,40,112640,0.334473,3
0.65,256,490,40,112640,0.332873,3
0.65,256,500,40,112640,0.328174,3
0.65,256,30,45,112640,0.128731,3
0.65,256,40,45,112640,0.18432,3
0.65,256,50,45,112640,0.190464,3
0.65,256,60,45,112640,0.200021,3
0.65,256,70,45,112640,0.221723,3
0.65,256,80,45,112640,0.24023,3
0.65,256,90,45,112640,0.270131,3
0.65,256,100,45,112640,0.239944,3
0.65,256,110,45,112640,0.236398,3
0.65,256,120,45,112640,0.27522,3
0.65,256,130,45,112640,0.294203,3
0.65,256,140,45,112640,0.269675,3
0.65,256,150,45,112640,0.264312,3
0.65,256,160,45,112640,0.277384,3
0.65,256,170,45,112640,0.284438,3
0.65,256,180,45,112640,0.304567,3
0.65,256,190,45,112640,0.280576,3
0.65,256,200,45,112640,0.271336,3
0.65,256,210,45,112640,0.279459,3
0.65,256,220,45,112640,0.304518,3
0.65,256,230,45,112640,0.278315,3
0.65,256,240,45,112640,0.289408,3
0.65,256,250,45,112640,0.287826,3
0.65,256,260,45,112640,0.285657,3
0.65,256,270,45,112640,0.296684,3
0.65,256,280,45,112640,0.285915,3
0.65,256,290,45,112640,0.28725,3
0.65,256,300,45,112640,0.287345,3
0.65,256,310,45,112640,0.290816,3
0.65,256,320,45,112640,0.281332,3
0.65,256,330,45,112640,0.287791,3
0.65,256,340,45,112640,0.282383,3
0.65,256,350,45,112640,0.294471,3
0.65,256,360,45,112640,0.30928,3
0.65,256,370,45,112640,0.292402,3
0.65,256,380,45,112640,0.282815,3
0.65,256,390,45,112640,0.293746,3
0.65,256,400,45,112640,0.295604,3
0.65,256,410,45,112640,0.295404,3
0.65,256,420,45,112640,0.292429,3
0.65,256,430,45,112640,0.284472,3
0.65,256,440,45,112640,0.297061,3
0.65,256,450,45,112640,0.298234,3
0.65,256,460,45,112640,0.287497,3
0.65,256,470,45,112640,0.293515,3
0.65,256,480,45,112640,0.294794,3
0.65,256,490,45,112640,0.305788,3
0.65,256,500,45,112640,0.29525,3
0.65,256,30,50,112640,0.120695,3
0.65,256,40,50,112640,0.18306,3
0.65,256,50,50,112640,0.233314,3
0.65,256,60,50,112640,0.189925,3
0.65,256,70,50,112640,0.201387,3
0.65,256,80,50,112640,0.218112,3
0.65,256,90,50,112640,0.256488,3
0.65,256,100,50,112640,0.285062,3
0.65,256,110,50,112640,0.244926,3
0.65,256,120,50,112640,0.247596,3
0.65,256,130,50,112640,0.264898,3
0.65,256,140,50,112640,0.295131,3
0.65,256,150,50,112640,0.279808,3
0.65,256,160,50,112640,0.265444,3
0.65,256,170,50,112640,0.265809,3
0.65,256,180,50,112640,0.266803,3
0.65,256,190,50,112640,0.287928,3
0.65,256,200,50,112640,0.295117,3
0.65,256,210,50,112640,0.28753,3
0.65,256,220,50,112640,0.286037,3
0.65,256,230,50,112640,0.283539,3
0.65,256,240,50,112640,0.296568,3
0.65,256,250,50,112640,0.295455,3
0.65,256,260,50,112640,0.297656,3
0.65,256,270,50,112640,0.293869,3
0.65,256,280,50,112640,0.31744,3
0.65,256,290,50,112640,0.309134,3
0.65,256,300,50,112640,0.308503,3
0.65,256,310,50,112640,0.288567,3
0.65,256,320,50,112640,0.288239,3
0.65,256,330,50,112640,0.285239,3
0.65,256,340,50,112640,0.315665,3
0.65,256,350,50,112640,0.299197,3
0.65,256,360,50,112640,0.287551,3
0.65,256,370,50,112640,0.296082,3
0.65,256,380,50,112640,0.302659,3
0.65,256,390,50,112640,0.300629,3
0.65,256,400,50,112640,0.29797,3
0.65,256,410,50,112640,0.301194,3
0.65,256,420,50,112640,0.287964,3
0.65,256,430,50,112640,0.297459,3
0.65,256,440,50,112640,0.312024,3
0.65,256,450,50,112640,0.29428,3
0.65,256,460,50,112640,0.295375,3
0.65,256,470,50,112640,0.288815,3
0.65,256,480,50,112640,0.290957,3
0.65,256,490,50,112640,0.307295,3
0.65,256,500,50,112640,0.294983,3
0.65,256,30,5,122880,0.306859,3
0.65,256,40,5,122880,0.306176,3
0.65,256,50,5,122880,0.305357,3
0.65,256,60,5,122880,0.305152,3
0.65,256,70,5,122880,0.304128,3
0.65,256,80,5,122880,0.302464,3
0.65,256,90,5,122880,0.30117,3
0.65,256,100,5,122880,0.315931,3
0.65,256,110,5,122880,0.28672,3
0.65,256,120,5,122880,0.298581,3
0.65,256,130,5,122880,0.296015,3
0.65,256,140,5,122880,0.282059,3
0.65,256,150,5,122880,0.30148,3
0.65,256,160,5,122880,0.286464,3
0.65,256,170,5,122880,0.285696,3
0.65,256,180,5,122880,0.283932,3
0.65,256,190,5,122880,0.270809,3
0.65,256,200,5,122880,0.277555,3
0.65,256,210,5,122880,0.272286,3
0.65,256,220,5,122880,0.264738,3
0.65,256,230,5,122880,0.268511,3
0.65,256,240,5,122880,0.264277,3
0.65,256,250,5,122880,0.254474,3
0.65,256,260,5,122880,0.250171,3
0.65,256,270,5,122880,0.251183,3
0.65,256,280,5,122880,0.26002,3
0.65,256,290,5,122880,0.242759,3
0.65,256,300,5,122880,0.244129,3
0.65,256,310,5,122880,0.237702,3
0.65,256,320,5,122880,0.231919,3
0.65,256,330,5,122880,0.230624,3
0.65,256,340,5,122880,0.240672,3
0.65,256,350,5,122880,0.212992,3
0.65,256,360,5,122880,0.218069,3
0.65,256,370,5,122880,0.232671,3
0.65,256,380,5,122880,0.231003,3
0.65,256,390,5,122880,0.22016,3
0.65,256,400,5,122880,0.224948,3
0.65,256,410,5,122880,0.212598,3
0.65,256,420,5,122880,0.215854,3
0.65,256,430,5,122880,0.211753,3
0.65,256,440,5,122880,0.213666,3
0.65,256,450,5,122880,0.200378,3
0.65,256,460,5,122880,0.205276,3
0.65,256,470,5,122880,0.206294,3
0.65,256,480,5,122880,0.198126,3
0.65,256,490,5,122880,0.205352,3
0.65,256,500,5,122880,0.191021,3
0.65,256,30,10,122880,0.263314,3
0.65,256,40,10,122880,0.272156,3
0.65,256,50,10,122880,0.278156,3
0.65,256,60,10,122880,0.262437,3
0.65,256,70,10,122880,0.26816,3
0.65,256,80,10,122880,0.288166,3
0.65,256,90,10,122880,0.275866,3
0.65,256,100,10,122880,0.277969,3
0.65,256,110,10,122880,0.292686,3
0.65,256,120,10,122880,0.281836,3
0.65,256,130,10,122880,0.283282,3
0.65,256,140,10,122880,0.284535,3
0.65,256,150,10,122880,0.284608,3
0.65,256,160,10,122880,0.277826,3
0.65,256,170,10,122880,0.295029,3
0.65,256,180,10,122880,0.285642,3
0.65,256,190,10,122880,0.28672,3
0.65,256,200,10,122880,0.287451,3
0.65,256,210,10,122880,0.287279,3
0.65,256,220,10,122880,0.286854,3
0.65,256,230,10,122880,0.287147,3
0.65,256,240,10,122880,0.292864,3
0.65,256,250,10,122880,0.290936,3
0.65,256,260,10,122880,0.285886,3
0.65,256,270,10,122880,0.289066,3
0.65,256,280,10,122880,0.294473,3
0.65,256,290,10,122880,0.277353,3
0.65,256,300,10,122880,0.279684,3
0.65,256,310,10,122880,0.280896,3
0.65,256,320,10,122880,0.282403,3
0.65,256,330,10,122880,0.276299,3
0.65,256,340,10,122880,0.27299,3
0.65,256,350,10,122880,0.277988,3
0.65,256,360,10,122880,0.273449,3
0.65,256,370,10,122880,0.28088,3
0.65,256,380,10,122880,0.283325,3
0.65,256,390,10,122880,0.274821,3
0.65,256,400,10,122880,0.276659,3
0.65,256,410,10,122880,0.281856,3
0.65,256,420,10,122880,0.268625,3
0.65,256,430,10,122880,0.27267,3
0.65,256,440,10,122880,0.272949,3
0.65,256,450,10,122880,0.271406,3
0.65,256,460,10,122880,0.272247,3
0.65,256,470,10,122880,0.271461,3
0.65,256,480,10,122880,0.269741,3
0.65,256,490,10,122880,0.263339,3
0.65,256,500,10,122880,0.261379,3
0.65,256,30,15,122880,0.262729,3
0.65,256,40,15,122880,0.306944,3
0.65,256,50,15,122880,0.278342,3
0.65,256,60,15,122880,0.283097,3
0.65,256,70,15,122880,0.3072,3
0.65,256,80,15,122880,0.288527,3
0.65,256,90,15,122880,0.262534,3
0.65,256,100,15,122880,0.292279,3
0.65,256,110,15,122880,0.269763,3
0.65,256,120,15,122880,0.26229,3
0.65,256,130,15,122880,0.284672,3
0.65,256,140,15,122880,0.26816,3
0.65,256,150,15,122880,0.262495,3
0.65,256,160,15,122880,0.287684,3
0.65,256,170,15,122880,0.273408,3
0.65,256,180,15,122880,0.268038,3
0.65,256,190,15,122880,0.290611,3
0.65,256,200,15,122880,0.277132,3
0.65,256,210,15,122880,0.272471,3
0.65,256,220,15,122880,0.27904,3
0.65,256,230,15,122880,0.273749,3
0.65,256,240,15,122880,0.269502,3
0.65,256,250,15,122880,0.286024,3
0.65,256,260,15,122880,0.280905,3
0.65,256,270,15,122880,0.272657,3
0.65,256,280,15,122880,0.285887,3
0.65,256,290,15,122880,0.281996,3
0.65,256,300,15,122880,0.27257,3
0.65,256,310,15,122880,0.286594,3
0.65,256,320,15,122880,0.277697,3
0.65,256,330,15,122880,0.273892,3
0.65,256,340,15,122880,0.281799,3
0.65,256,350,15,122880,0.281379,3
0.65,256,360,15,122880,0.268729,3
0.65,256,370,15,122880,0.27635,3
0.65,256,380,15,122880,0.28615,3
0.65,256,390,15,122880,0.269541,3
0.65,256,400,15,122880,0.279698,3
0.65,256,410,15,122880,0.283419,3
0.65,256,420,15,122880,0.270201,3
0.65,256,430,15,122880,0.278915,3
0.65,256,440,15,122880,0.276502,3
0.65,256,450,15,122880,0.276175,3
0.65,256,460,15,122880,0.280662,3
0.65,256,470,15,122880,0.273398,3
0.65,256,480,15,122880,0.272911,3
0.65,256,490,15,122880,0.285307,3
0.65,256,500,15,122880,0.280616,3
0.65,256,30,20,122880,0.260681,3
0.65,256,40,20,122880,0.273067,3
0.65,256,50,20,122880,0.277597,3
0.65,256,60,20,122880,0.263022,3
0.65,256,70,20,122880,0.286037,3
0.65,256,80,20,122880,0.245658,3
0.65,256,90,20,122880,0.276173,3
0.65,256,100,20,122880,0.245187,3
0.65,256,110,20,122880,0.269681,3
0.65,256,120,20,122880,0.244941,3
0.65,256,130,20,122880,0.265899,3
0.65,256,140,20,122880,0.252506,3
0.65,256,150,20,122880,0.270216,3
0.65,256,160,20,122880,0.251536,3
0.65,256,170,20,122880,0.27427,3
0.65,256,180,20,122880,0.256143,3
0.65,256,190,20,122880,0.270527,3
0.65,256,200,20,122880,0.265884,3
0.65,256,210,20,122880,0.273343,3
0.65,256,220,20,122880,0.26379,3
0.65,256,230,20,122880,0.275597,3
0.65,256,240,20,122880,0.261705,3
0.65,256,250,20,122880,0.272347,3
0.65,256,260,20,122880,0.268705,3
0.65,256,270,20,122880,0.284354,3
0.65,256,280,20,122880,0.275225,3
0.65,256,290,20,122880,0.280381,3
0.65,256,300,20,122880,0.272048,3
0.65,256,310,20,122880,0.285168,3
0.65,256,320,20,122880,0.273221,3
0.65,256,330,20,122880,0.281961,3
0.65,256,340,20,122880,0.274186,3
0.65,256,350,20,122880,0.278878,3
0.65,256,360,20,122880,0.282704,3
0.65,256,370,20,122880,0.286457,3
0.65,256,380,20,122880,0.279927,3
0.65,256,390,20,122880,0.28642,3
0.65,256,400,20,122880,0.277681,3
0.65,256,410,20,122880,0.286958,3
0.65,256,420,20,122880,0.275625,3
0.65,256,430,20,122880,0.285742,3
0.65,256,440,20,122880,0.280576,3
0.65,256,450,20,122880,0.288966,3
0.65,256,460,20,122880,0.28085,3
0.65,256,470,20,122880,0.287755,3
0.65,256,480,20,122880,0.284692,3
0.65,256,490,20,122880,0.295873,3
0.65,256,500,20,122880,0.281746,3
0.65,256,30,25,122880,0.183501,3
0.65,256,40,25,122880,0.220625,3
0.65,256,50,25,122880,0.254976,3
0.65,256,60,25,122880,0.2272,3
0.65,256,70,25,122880,0.263808,3
0.65,256,80,25,122880,0.270336,3
0.65,256,90,25,122880,0.272691,3
0.65,256,100,25,122880,0.277504,3
0.65,256,110,25,122880,0.257733,3
0.65,256,120,25,122880,0.260827,3
0.65,256,130,25,122880,0.272878,3
0.65,256,140,25,122880,0.274498,3
0.65,256,150,25,122880,0.266963,3
0.65,256,160,25,122880,0.2688,3
0.65,256,170,25,122880,0.270444,3
0.65,256,180,25,122880,0.272333,3
0.65,256,190,25,122880,0.274286,3
0.65,256,200,25,122880,0.27392,3
0.65,256,210,25,122880,0.275901,3
0.65,256,220,25,122880,0.27712,3
0.65,256,230,25,122880,0.282624,3
0.65,256,240,25,122880,0.274277,3
0.65,256,250,25,122880,0.280348,3
0.65,256,260,25,122880,0.2697,3
0.65,256,270,25,122880,0.285211,3
0.65,256,280,25,122880,0.268711,3
0.65,256,290,25,122880,0.273472,3
0.65,256,300,25,122880,0.28352,3
0.65,256,310,25,122880,0.262865,3
0.65,256,320,25,122880,0.282775,3
0.65,256,330,25,122880,0.279336,3
0.65,256,340,25,122880,0.277366,3
0.65,256,350,25,122880,0.26611,3
0.65,256,360,25,122880,0.271002,3
0.65,256,370,25,122880,0.267893,3
0.65,256,380,25,122880,0.282498,3
0.65,256,390,25,122880,0.27804,3
0.65,256,400,25,122880,0.272756,3
0.65,256,410,25,122880,0.274685,3
0.65,256,420,25,122880,0.275467,3
0.65,256,430,25,122880,0.278929,3
0.65,256,440,25,122880,0.28735,3
0.65,256,450,25,122880,0.288768,3
0.65,256,460,25,122880,0.279824,3
0.65,256,470,25,122880,0.281383,3
0.65,256,480,25,122880,0.29161,3
0.65,256,490,25,122880,0.289275,3
0.65,256,500,25,122880,0.285026,3
0.65,256,30,30,122880,0.263314,3
0.65,256,40,30,122880,0.222301,3
0.65,256,50,30,122880,0.274804,3
0.65,256,60,30,122880,0.283254,3
0.65,256,70,30,122880,0.251784,3
0.65,256,80,30,122880,0.28672,3
0.65,256,90,30,122880,0.262827,3
0.65,256,100,30,122880,0.244613,3
0.65,256,110,30,122880,0.279808,3
0.65,256,120,30,122880,0.262583,3
0.65,256,130,30,122880,0.248384,3
0.65,256,140,30,122880,0.266496,3
0.65,256,150,30,122880,0.269553,3
0.65,256,160,30,122880,0.25724,3
0.65,256,170,30,122880,0.272222,3
0.65,256,180,30,122880,0.261364,3
0.65,256,190,30,122880,0.251325,3
0.65,256,200,30,122880,0.263925,3
0.65,256,210,30,122880,0.255427,3
0.65,256,220,30,122880,0.247429,3
0.65,256,230,30,122880,0.262453,3
0.65,256,240,30,122880,0.260864,3
0.65,256,250,30,122880,0.252416,3
0.65,256,260,30,122880,0.257612,3
0.65,256,270,30,122880,0.260649,3
0.65,256,280,30,122880,0.256807,3
0.65,256,290,30,122880,0.266085,3
0.65,256,300,30,122880,0.260389,3
0.65,256,310,30,122880,0.264279,3
0.65,256,320,30,122880,0.272701,3
0.65,256,330,30,122880,0.263491,3
0.65,256,340,30,122880,0.257126,3
0.65,256,350,30,122880,0.269023,3
0.65,256,360,30,122880,0.262095,3
0.65,256,370,30,122880,0.265435,3
0.65,256,380,30,122880,0.268168,3
0.65,256,390,30,122880,0.261006,3
0.65,256,400,30,122880,0.261832,3
0.65,256,410,30,122880,0.267976,3
0.65,256,420,30,122880,0.273363,3
0.65,256,430,30,122880,0.271673,3
0.65,256,440,30,122880,0.268852,3
0.65,256,450,30,122880,0.269496,3
0.65,256,460,30,122880,0.261968,3
0.65,256,470,30,122880,0.264231,3
0.65,256,480,30,122880,0.264723,3
0.65,256,490,30,122880,0.262624,3
0.65,256,500,30,122880,0.261618,3
0.65,256,30,35,122880,0.22784,3
0.65,256,40,35,122880,0.174665,3
0.65,256,50,35,122880,0.203162,3
0.65,256,60,35,122880,0.280103,3
0.65,256,70,35,122880,0.285218,3
0.65,256,80,35,122880,0.222208,3
0.65,256,90,35,122880,0.238726,3
0.65,256,100,35,122880,0.289938,3
0.65,256,110,35,122880,0.269025,3
0.65,256,120,35,122880,0.252045,3
0.65,256,130,35,122880,0.26426,3
0.65,256,140,35,122880,0.293782,3
0.65,256,150,35,122880,0.269252,3
0.65,256,160,35,122880,0.285877,3
0.65,256,170,35,122880,0.31291,3
0.65,256,180,35,122880,0.26604,3
0.65,256,190,35,122880,0.279777,3
0.65,256,200,35,122880,0.301824,3
0.65,256,210,35,122880,0.290071,3
0.65,256,220,35,122880,0.284149,3
0.65,256,230,35,122880,0.290347,3
0.65,256,240,35,122880,0.295163,3
0.65,256,250,35,122880,0.275586,3
0.65,256,260,35,122880,0.275007,3
0.65,256,270,35,122880,0.295992,3
0.65,256,280,35,122880,0.29244,3
0.65,256,290,35,122880,0.287626,3
0.65,256,300,35,122880,0.292137,3
0.65,256,310,35,122880,0.301155,3
0.65,256,320,35,122880,0.280487,3
0.65,256,330,35,122880,0.28764,3
0.65,256,340,35,122880,0.29146,3
0.65,256,350,35,122880,0.284174,3
0.65,256,360,35,122880,0.278502,3
0.65,256,370,35,122880,0.292271,3
0.65,256,380,35,122880,0.296189,3
0.65,256,390,35,122880,0.286196,3
0.65,256,400,35,122880,0.28555,3
0.65,256,410,35,122880,0.295652,3
0.65,256,420,35,122880,0.292959,3
0.65,256,430,35,122880,0.282106,3
0.65,256,440,35,122880,0.288836,3
0.65,256,450,35,122880,0.293064,3
0.65,256,460,35,122880,0.286315,3
0.65,256,470,35,122880,0.292565,3
